id,easting,northing,district
1,688544,3069511,Arghakhachi
2,688453,3069498,Arghakhachi
3,688475,3069464,Arghakhachi
4,690280,3069906,Arghakhachi
5,508565,3144551,Bardiya
6,533323,3120628,Bardiya
7,642095,3081003,Dang
8,642133,3080978,Dang
9,642092,3080911,Dang
10,642065,3080855,Dang
11,642012,3080821,Dang
12,641964,3080790,Dang
13,641867,3080694,Dang
14,641854,3080676,Dang
15,641795,3080612,Dang
16,641751,3080658,Dang
17,641849,3080783,Dang
18,641893,3080824,Dang
19,641895,3080835,Dang
20,641914,3080846,Dang
21,642013,3080947,Dang
22,642063,3081019,Dang
23,700978,3054731,Kapilvastu
24,700974,3054732,Kapilvastu
25,700971,3054738,Kapilvastu
26,700967,3054732,Kapilvastu
27,700959,3054740,Kapilvastu
28,700943,3054727,Kapilvastu
29,700943,3054732,Kapilvastu
30,468507,3191276,Kailali
31,468625,3191357,Kailali
32,468523,3191525,Kailali
33,468293,3191392,Kailali
34,478297,3187447,Kailali
35,478238,3187461,Kailali
36,478170,3187659,Kailali
37,478211,3187792,Kailali
38,478431,3187672,Kailali
39,478560,3187839,Kailali
40,478666,3187858,Kailali
41,478836,3187821,Kailali
42,478837,3187771,Kailali
43,478843,3187847,Kailali
44,478851,3187410,Kailali
45,478907,3186985,Kailali
46,478842,3186856,Kailali
47,468422,3191302,Kailali
48,421974,3209842,Kanchanpur
49,422076,3209986,Kanchanpur
50,422099,3210077,Kanchanpur
51,422033,3210156,Kanchanpur
52,422197,3210035,Kanchanpur
53,422386,3210280,Kanchanpur
54,422489,3210243,Kanchanpur
55,422445,3210228,Kanchanpur
56,422417,3210217,Kanchanpur
57,422471,3210209,Kanchanpur
58,422474,3210200,Kanchanpur
59,422466,3210180,Kanchanpur
60,422459,3210180,Kanchanpur
61,422484,3210302,Kanchanpur
62,422405,3210324,Kanchanpur
63,422281,3210374,Kanchanpur
64,422243,3210393,Kanchanpur
65,422227,3210677,Kanchanpur
66,422237,3210746,Kanchanpur
67,422200,3210685,Kanchanpur
68,422013,3210215,Kanchanpur
69,422006,3210108,Kanchanpur
70,421920,3209941,Kanchanpur
71,421339,3210773,Kanchanpur
72,421278,3210825,Kanchanpur
73,421272,3210831,Kanchanpur
