x,y,species cloglog values
1.0,1.0,0.03430154
2.0,2.0,0.009324191
3.0,3.0,5.3339274E-5
4.0,4.0,0.0064708972
5.0,5.0,0.9097626
6.0,6.0,7.871777E-4
7.0,7.0,0.28598544
8.0,8.0,0.2616396
9.0,9.0,0.016825978
10.0,10.0,1.0786519E-4
11.0,11.0,1.1758222E-5
12.0,12.0,0.025973847
13.0,13.0,6.7389175E-7
14.0,14.0,0.71696603
15.0,15.0,0.008897062
16.0,16.0,2.4124034E-4
17.0,17.0,0.0061933147
18.0,18.0,0.1484498
19.0,19.0,0.022138681
20.0,20.0,1.332077E-4
21.0,21.0,0.04593684
22.0,22.0,1.81015E-5
23.0,23.0,0.0019902552
24.0,24.0,0.9928465
25.0,25.0,1.3298296E-5
26.0,26.0,0.0025333327
27.0,27.0,0.48641443
28.0,28.0,2.3874361E-5
29.0,29.0,0.0026275215
30.0,30.0,5.628261E-4
31.0,31.0,1.1274994E-7
32.0,32.0,2.2279464E-6
33.0,33.0,0.00798758
34.0,34.0,2.7232409E-5
35.0,35.0,7.4710035E-5
36.0,36.0,4.6024625E-6
37.0,37.0,0.0074245753
38.0,38.0,0.0023220228
39.0,39.0,2.307556E-4
40.0,40.0,0.001143263
41.0,41.0,1.1862208E-5
42.0,42.0,2.0777057E-5
43.0,43.0,1.38009195E-8
44.0,44.0,0.24688344
45.0,45.0,4.0696515E-5
46.0,46.0,0.10591643
47.0,47.0,2.7471955E-7
48.0,48.0,1.6549938E-4
49.0,49.0,0.001724467
50.0,50.0,7.234441E-5
51.0,51.0,7.108987E-4
52.0,52.0,0.0011781272
53.0,53.0,5.0205678E-8
54.0,54.0,0.014717468
55.0,55.0,0.0022651814
56.0,56.0,1.3799999E-4
57.0,57.0,3.994889E-6
58.0,58.0,0.14558247
59.0,59.0,1.7883372E-6
60.0,60.0,1.4381972E-5
61.0,61.0,5.6607132E-5
62.0,62.0,2.5020614E-7
63.0,63.0,1.3974073E-7
64.0,64.0,0.005535928
65.0,65.0,0.041030142
66.0,66.0,1.3915245E-6
67.0,67.0,9.878915E-5
68.0,68.0,2.7107902E-5
69.0,69.0,0.027463876
70.0,70.0,1.1959334E-4
71.0,71.0,2.8987683E-6
72.0,72.0,1.2318126E-4
73.0,73.0,5.0961376E-6
74.0,74.0,0.014260204
75.0,75.0,0.6435128
76.0,76.0,4.949963E-9
